 no. of detectors, no. of ut parameters                                         
   700     5 
 det, delta, len2,code, 2theta, ut1, ut2, ut3, ut4, ut5                         
   343    0.000    3.630  300  10.307   2.000   0.000   0.000  78.000   2.000
   344    0.000    3.649  300  10.161   2.000   0.000   0.000  78.000   2.000
   345    0.000    3.668  300  10.016   2.000   0.000   0.000  78.000   2.000
   346    0.000    3.687  300   9.873   2.000   0.000   0.000  78.000   2.000
   347    0.000    3.706  300   9.731   2.000   0.000   0.000  78.000   2.000
   348    0.000    3.725  300   9.591   2.000   0.000   0.000  78.000   2.000
   349    0.000    3.744  300   9.452   2.000   0.000   0.000  78.000   2.000
   350    0.000    3.763  300   9.315   2.000   0.000   0.000  78.000   2.000
   351    0.000    3.782  300   9.179   2.000   0.000   0.000  78.000   2.000
   352    0.000    3.801  300   9.044   2.000   0.000   0.000  78.000   2.000
   353    0.000    3.820  300   8.911   2.000   0.000   0.000  78.000   2.000
   354    0.000    3.839  300   8.779   2.000   0.000   0.000  78.000   2.000
   355    0.000    3.858  300   8.648   2.000   0.000   0.000  78.000   2.000
   356    0.000    3.877  300   8.518   2.000   0.000   0.000  78.000   2.000
   357    0.000    3.896  300   8.390   2.000   0.000   0.000  78.000   2.000
   358    0.000    3.915  300   8.263   2.000   0.000   0.000  78.000   2.000
   359    0.000    3.934  300   8.138   2.000   0.000   0.000  78.000   2.000
   360    0.000    3.953  300   8.013   2.000   0.000   0.000  78.000   2.000
   361    0.000    3.594  300  10.681   2.000   0.000   0.000  44.000   2.000
   362    0.000    3.613  300  10.526   2.000   0.000   0.000  44.000   2.000
   363    0.000    3.631  300  10.373   2.000   0.000   0.000  44.000   2.000
   364    0.000    3.650  300  10.221   2.000   0.000   0.000  44.000   2.000
   365    0.000    3.669  300  10.071   2.000   0.000   0.000  44.000   2.000
   366    0.000    3.688  300   9.923   2.000   0.000   0.000  44.000   2.000
   367    0.000    3.706  300   9.776   2.000   0.000   0.000  44.000   2.000
   368    0.000    3.725  300   9.630   2.000   0.000   0.000  44.000   2.000
   369    0.000    3.744  300   9.486   2.000   0.000   0.000  44.000   2.000
   370    0.000    3.763  300   9.344   2.000   0.000   0.000  44.000   2.000
   371    0.000    3.781  300   9.202   2.000   0.000   0.000  44.000   2.000
   372    0.000    3.800  300   9.063   2.000   0.000   0.000  44.000   2.000
   373    0.000    3.819  300   8.924   2.000   0.000   0.000  44.000   2.000
   374    0.000    3.838  300   8.787   2.000   0.000   0.000  44.000   2.000
   375    0.000    3.857  300   8.651   2.000   0.000   0.000  44.000   2.000
   376    0.000    3.876  300   8.517   2.000   0.000   0.000  44.000   2.000
   377    0.000    3.895  300   8.384   2.000   0.000   0.000  44.000   2.000
   378    0.000    3.914  300   8.252   2.000   0.000   0.000  44.000   2.000
   379    0.000    3.933  300   8.122   2.000   0.000   0.000  44.000   2.000
   380    0.000    3.952  300   7.992   2.000   0.000   0.000  44.000   2.000
   401    0.000    4.010  300  13.609   2.000   0.000   0.000 243.500   2.000
   402    0.000    4.028  300  13.476   2.000   0.000   0.000 243.500   2.000
   403    0.000    4.047  300  13.343   2.000   0.000   0.000 243.500   2.000
   404    0.000    4.066  300  13.212   2.000   0.000   0.000 243.500   2.000
   405    0.000    4.085  300  13.082   2.000   0.000   0.000 243.500   2.000
   406    0.000    4.104  300  12.953   2.000   0.000   0.000 243.500   2.000
   407    0.000    4.123  300  12.825   2.000   0.000   0.000 243.500   2.000
   408    0.000    4.142  300  12.699   2.000   0.000   0.000 243.500   2.000
   409    0.000    4.161  300  12.573   2.000   0.000   0.000 243.500   2.000
   410    0.000    4.180  300  12.449   2.000   0.000   0.000 243.500   2.000
   411    0.000    4.198  300  12.326   2.000   0.000   0.000 243.500   2.000
   412    0.000    4.217  300  12.204   2.000   0.000   0.000 243.500   2.000
   413    0.000    4.236  300  12.083   2.000   0.000   0.000 243.500   2.000
   414    0.000    4.256  300  11.963   2.000   0.000   0.000 243.500   2.000
