 Number_of_detectors, Number of ut parameters
               908                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20501018    0.00000    3.10852  300.00000   11.94278    0.00000    0.00000    0.00000  102.87000    2.00000
 20504001    0.00000    2.80061  300.00000   14.54427    0.00000    0.00000    0.00000  180.00000    2.00000
 20504002    0.00000    2.81855  300.00000   14.36405    0.00000    0.00000    0.00000  180.00000    2.00000
 20504003    0.00000    2.83651  300.00000   14.18612    0.00000    0.00000    0.00000  180.00000    2.00000
 20504004    0.00000    2.85451  300.00000   14.01044    0.00000    0.00000    0.00000  180.00000    2.00000
 20504005    0.00000    2.87253  300.00000   13.83696    0.00000    0.00000    0.00000  180.00000    2.00000
 20504006    0.00000    2.89057  300.00000   13.66564    0.00000    0.00000    0.00000  180.00000    2.00000
 20504007    0.00000    2.90865  300.00000   13.49646    0.00000    0.00000    0.00000  180.00000    2.00000
 20504008    0.00000    2.92674  300.00000   13.32937    0.00000    0.00000    0.00000  180.00000    2.00000
 20504009    0.00000    2.94487  300.00000   13.16434    0.00000    0.00000    0.00000  180.00000    2.00000
 20504010    0.00000    2.96301  300.00000   13.00133    0.00000    0.00000    0.00000  180.00000    2.00000
 20504011    0.00000    2.98118  300.00000   12.84031    0.00000    0.00000    0.00000  180.00000    2.00000
 20504012    0.00000    2.99937  300.00000   12.68124    0.00000    0.00000    0.00000  180.00000    2.00000
 20504013    0.00000    3.01759  300.00000   12.52410    0.00000    0.00000    0.00000  180.00000    2.00000
 20504014    0.00000    3.03583  300.00000   12.36884    0.00000    0.00000    0.00000  180.00000    2.00000
 20504015    0.00000    3.05409  300.00000   12.21544    0.00000    0.00000    0.00000  180.00000    2.00000
 20504016    0.00000    3.07237  300.00000   12.06387    0.00000    0.00000    0.00000  180.00000    2.00000
 20504017    0.00000    3.09067  300.00000   11.91410    0.00000    0.00000    0.00000  180.00000    2.00000
 20504018    0.00000    3.10900  300.00000   11.76610    0.00000    0.00000    0.00000  180.00000    2.00000
 20505001    0.00000    2.80060  300.00000   14.60482    0.00000    0.00000    0.00000  205.71000    2.00000
 20505002    0.00000    2.81853  300.00000   14.42422    0.00000    0.00000    0.00000  205.71000    2.00000
 20505003    0.00000    2.83649  300.00000   14.24590    0.00000    0.00000    0.00000  205.71000    2.00000
 20505004    0.00000    2.85448  300.00000   14.06984    0.00000    0.00000    0.00000  205.71000    2.00000
 20505005    0.00000    2.87249  300.00000   13.89598    0.00000    0.00000    0.00000  205.71000    2.00000
