 Number_of_detectors, Number of ut parameters
              2257                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20104033    0.00000    5.52602        300    0.51857    0.00000    0.00000    0.00000  263.05301    0.00000
 20105001    0.00000    5.52978        300    2.17605    0.00000    0.00000    0.00000  249.16000    0.00000
 20105002    0.00000    5.52960        300    2.12428    0.00000    0.00000    0.00000  249.16000    0.00000
 20105003    0.00000    5.52941        300    2.07251    0.00000    0.00000    0.00000  249.16000    0.00000
 20105004    0.00000    5.52923        300    2.02074    0.00000    0.00000    0.00000  249.16000    0.00000
 20105005    0.00000    5.52906        300    1.96896    0.00000    0.00000    0.00000  249.16000    0.00000
 20105006    0.00000    5.52889        300    1.91718    0.00000    0.00000    0.00000  249.16000    0.00000
 20105007    0.00000    5.52873        300    1.86540    0.00000    0.00000    0.00000  249.16000    0.00000
 20105008    0.00000    5.52857        300    1.81361    0.00000    0.00000    0.00000  249.16000    0.00000
 20105009    0.00000    5.52841        300    1.76182    0.00000    0.00000    0.00000  249.16000    0.00000
 20105010    0.00000    5.52826        300    1.71003    0.00000    0.00000    0.00000  249.16000    0.00000
 20105011    0.00000    5.52811        300    1.65824    0.00000    0.00000    0.00000  249.16000    0.00000
 20105012    0.00000    5.52797        300    1.60644    0.00000    0.00000    0.00000  249.16000    0.00000
 20105013    0.00000    5.52783        300    1.55465    0.00000    0.00000    0.00000  249.16000    0.00000
 20105014    0.00000    5.52770        300    1.50285    0.00000    0.00000    0.00000  249.16000    0.00000
 20105015    0.00000    5.52757        300    1.45105    0.00000    0.00000    0.00000  249.16000    0.00000
 20105016    0.00000    5.52744        300    1.39924    0.00000    0.00000    0.00000  249.16000    0.00000
 20105017    0.00000    5.52732        300    1.34744    0.00000    0.00000    0.00000  249.16000    0.00000
 20105018    0.00000    5.52721        300    1.29563    0.00000    0.00000    0.00000  249.16000    0.00000
 20105019    0.00000    5.52710        300    1.24382    0.00000    0.00000    0.00000  249.16000    0.00000
 20105020    0.00000    5.52699        300    1.19201    0.00000    0.00000    0.00000  249.16000    0.00000
 20105021    0.00000    5.52689        300    1.14021    0.00000    0.00000    0.00000  249.16000    0.00000
 20105022    0.00000    5.52679        300    1.08839    0.00000    0.00000    0.00000  249.16000    0.00000
 20105023    0.00000    5.52670        300    1.03658    0.00000    0.00000    0.00000  249.16000    0.00000
 20105024    0.00000    5.52661        300    0.98477    0.00000    0.00000    0.00000  249.16000    0.00000
 20105025    0.00000    5.52653        300    0.93296    0.00000    0.00000    0.00000  249.16000    0.00000
 20105026    0.00000    5.52645        300    0.88115    0.00000    0.00000    0.00000  249.16000    0.00000
 20105027    0.00000    5.52638        300    0.82934    0.00000    0.00000    0.00000  249.16000    0.00000
 20105028    0.00000    5.52631        300    0.77754    0.00000    0.00000    0.00000  249.16000    0.00000
 20105029    0.00000    5.52624        300    0.72573    0.00000    0.00000    0.00000  249.16000    0.00000
 20105030    0.00000    5.52618        300    0.67393    0.00000    0.00000    0.00000  249.16000    0.00000
 20105031    0.00000    5.52612        300    0.62214    0.00000    0.00000    0.00000  249.16000    0.00000
 20105032    0.00000    5.52607        300    0.57035    0.00000    0.00000    0.00000  249.16000    0.00000
 20105033    0.00000    5.52602        300    0.51857    0.00000    0.00000    0.00000  249.16000    0.00000
 20106001    0.00000    5.52978        300    2.17605    0.00000    0.00000    0.00000  235.26700    0.00000
 20106002    0.00000    5.52960        300    2.12428    0.00000    0.00000    0.00000  235.26700    0.00000
 20106003    0.00000    5.52941        300    2.07251    0.00000    0.00000    0.00000  235.26700    0.00000
 20106004    0.00000    5.52923        300    2.02074    0.00000    0.00000    0.00000  235.26700    0.00000
 20106005    0.00000    5.52906        300    1.96896    0.00000    0.00000    0.00000  235.26700    0.00000
 20106006    0.00000    5.52889        300    1.91718    0.00000    0.00000    0.00000  235.26700    0.00000
 20106007    0.00000    5.52873        300    1.86540    0.00000    0.00000    0.00000  235.26700    0.00000
 20106008    0.00000    5.52857        300    1.81361    0.00000    0.00000    0.00000  235.26700    0.00000
 20106009    0.00000    5.52841        300    1.76182    0.00000    0.00000    0.00000  235.26700    0.00000
 20106010    0.00000    5.52826        300    1.71003    0.00000    0.00000    0.00000  235.26700    0.00000
 20106011    0.00000    5.52811        300    1.65824    0.00000    0.00000    0.00000  235.26700    0.00000
 20106012    0.00000    5.52797        300    1.60644    0.00000    0.00000    0.00000  235.26700    0.00000
 20106013    0.00000    5.52783        300    1.55465    0.00000    0.00000    0.00000  235.26700    0.00000
 20106014    0.00000    5.52770        300    1.50285    0.00000    0.00000    0.00000  235.26700    0.00000
 20106015    0.00000    5.52757        300    1.45105    0.00000    0.00000    0.00000  235.26700    0.00000
 20106016    0.00000    5.52744        300    1.39924    0.00000    0.00000    0.00000  235.26700    0.00000
 20106017    0.00000    5.52732        300    1.34744    0.00000    0.00000    0.00000  235.26700    0.00000
 20106018    0.00000    5.52721        300    1.29563    0.00000    0.00000    0.00000  235.26700    0.00000
 20106019    0.00000    5.52710        300    1.24382    0.00000    0.00000    0.00000  235.26700    0.00000
 20106020    0.00000    5.52699        300    1.19201    0.00000    0.00000    0.00000  235.26700    0.00000
 20106021    0.00000    5.52689        300    1.14021    0.00000    0.00000    0.00000  235.26700    0.00000
 20106022    0.00000    5.52679        300    1.08839    0.00000    0.00000    0.00000  235.26700    0.00000
 20106023    0.00000    5.52670        300    1.03658    0.00000    0.00000    0.00000  235.26700    0.00000
