Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta    Len2(m)  Code    2theta  UT1  UT2  UT3  UT4  UT5
104055  0.0  2.251000  1000  13.993205  0  0  0  0  0.000000
  201200       0.0     2.3591  1000    19.493    0    0    0    0    0
201001  0.0  2.359000  1000  19.118856  0  0  0  0  120.000000
201002  0.0  2.359000  1000  19.239310  0  0  0  0  120.000000
201003  0.0  2.359000  1000  19.350275  0  0  0  0  120.000000
201004  0.0  2.359000  1000  19.482105  0  0  0  0  120.000000
201005  0.0  2.359000  1000  19.608652  0  0  0  0  120.000000
201006  0.0  2.359000  1000  19.721695  0  0  0  0  120.000000
201007  0.0  2.359000  1000  19.842577  0  0  0  0  120.000000
201008  0.0  2.359000  1000  19.971466  0  0  0  0  120.000000
201009  0.0  2.359000  1000  20.087720  0  0  0  0  120.000000
201010  0.0  2.359000  1000  20.204255  0  0  0  0  120.000000
201011  0.0  2.359000  1000  20.332946  0  0  0  0  120.000000
201012  0.0  2.162000  1000  20.521979  0  0  0  0  120.000000
201013  0.0  2.162000  1000  20.639807  0  0  0  0  120.000000
201014  0.0  2.162000  1000  20.779345  0  0  0  0  120.000000
201015  0.0  2.162000  1000  20.911403  0  0  0  0  120.000000
201016  0.0  2.162000  1000  21.041280  0  0  0  0  120.000000
201017  0.0  2.162000  1000  21.178684  0  0  0  0  120.000000
201018  0.0  2.162000  1000  21.305956  0  0  0  0  120.000000
201019  0.0  2.162000  1000  21.448408  0  0  0  0  120.000000
201020  0.0  2.162000  1000  21.578692  0  0  0  0  120.000000
201021  0.0  2.162000  1000  21.695902  0  0  0  0  120.000000
201022  0.0  2.162000  1000  21.821082  0  0  0  0  120.000000
201023  0.0  1.983000  1000  21.962433  0  0  0  0  120.000000
201024  0.0  1.983000  1000  22.099255  0  0  0  0  120.000000
201025  0.0  1.983000  1000  22.242198  0  0  0  0  120.000000
201026  0.0  1.983000  1000  22.383694  0  0  0  0  120.000000
201027  0.0  1.983000  1000  22.524877  0  0  0  0  120.000000
201028  0.0  1.983000  1000  22.671798  0  0  0  0  120.000000
201029  0.0  1.983000  1000  22.811711  0  0  0  0  120.000000
201030  0.0  1.983000  1000  22.959436  0  0  0  0  120.000000
