Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta       Len2  Code    2theta  UT1  UT2  UT3  UT4  UT5
201075  0.0  1.417000  100  30.845565  0  0  0  0  120.000000
201076  0.0  1.417000  100  31.046072  0  0  0  0  120.000000
201077  0.0  1.417000  100  31.223963  0  0  0  0  120.000000
201078  0.0  1.307000  100  31.389674  0  0  0  0  120.000000
201079  0.0  1.307000  100  31.606691  0  0  0  0  120.000000
201080  0.0  1.307000  100  31.823768  0  0  0  0  120.000000
201081  0.0  1.307000  100  32.040311  0  0  0  0  120.000000
201082  0.0  1.307000  100  32.267421  0  0  0  0  120.000000
201083  0.0  1.307000  100  32.478046  0  0  0  0  120.000000
201084  0.0  1.307000  100  32.692920  0  0  0  0  120.000000
201085  0.0  1.307000  100  32.916241  0  0  0  0  120.000000
201086  0.0  1.307000  100  33.133562  0  0  0  0  120.000000
201087  0.0  1.307000  100  33.350489  0  0  0  0  120.000000
201088  0.0  1.307000  100  33.575952  0  0  0  0  120.000000
  202200       0.0       0.25   100      90.0    0    0    0    0    0
202001  0.0  2.359000  100  19.170455  0  0  0  0  150.000000
202002  0.0  2.359000  100  19.299274  0  0  0  0  150.000000
202003  0.0  2.359000  100  19.414539  0  0  0  0  150.000000
202004  0.0  2.359000  100  19.534712  0  0  0  0  150.000000
202005  0.0  2.359000  100  19.662552  0  0  0  0  150.000000
202006  0.0  2.359000  100  19.777392  0  0  0  0  150.000000
202007  0.0  2.359000  100  19.900748  0  0  0  0  150.000000
202008  0.0  2.359000  100  20.028226  0  0  0  0  150.000000
202009  0.0  2.359000  100  20.132482  0  0  0  0  150.000000
202010  0.0  2.359000  100  20.259227  0  0  0  0  150.000000
202011  0.0  2.359000  100  20.388234  0  0  0  0  150.000000
202012  0.0  2.162000  100  20.535278  0  0  0  0  150.000000
202013  0.0  2.162000  100  20.664159  0  0  0  0  150.000000
202014  0.0  2.162000  100  20.798982  0  0  0  0  150.000000
202015  0.0  2.162000  100  20.928671  0  0  0  0  150.000000
202016  0.0  2.162000  100  21.055199  0  0  0  0  150.000000
202017  0.0  2.162000  100  21.201468  0  0  0  0  150.000000
202018  0.0  2.162000  100  21.323373  0  0  0  0  150.000000
202019  0.0  2.162000  100  21.454596  0  0  0  0  150.000000
202020  0.0  2.162000  100  21.584676  0  0  0  0  150.000000
202021  0.0  2.162000  100  21.717344  0  0  0  0  150.000000
202022  0.0  2.162000  100  21.853910  0  0  0  0  150.000000
202023  0.0  1.983000  100  22.019116  0  0  0  0  150.000000
202024  0.0  1.983000  100  22.162091  0  0  0  0  150.000000
202025  0.0  1.983000  100  22.315255  0  0  0  0  150.000000
202026  0.0  1.983000  100  22.459307  0  0  0  0  150.000000
202027  0.0  1.983000  100  22.594518  0  0  0  0  150.000000
202028  0.0  1.983000  100  22.735747  0  0  0  0  150.000000
202029  0.0  1.983000  100  22.889008  0  0  0  0  150.000000
202030  0.0  1.983000  100  23.023616  0  0  0  0  150.000000
202031  0.0  1.983000  100  23.172551  0  0  0  0  150.000000
202032  0.0  1.983000  100  23.324604  0  0  0  0  150.000000
202033  0.0  1.983000  100  23.458186  0  0  0  0  150.000000
202034  0.0  1.820000  100  23.625933  0  0  0  0  150.000000
202035  0.0  1.820000  100  23.775169  0  0  0  0  150.000000
202036  0.0  1.820000  100  23.937159  0  0  0  0  150.000000
202037  0.0  1.820000  100  24.090871  0  0  0  0  150.000000
202038  0.0  1.820000  100  24.249491  0  0  0  0  150.000000
202039  0.0  1.820000  100  24.408523  0  0  0  0  150.000000
202040  0.0  1.820000  100  24.556866  0  0  0  0  150.000000
202041  0.0  1.820000  100  24.722856  0  0  0  0  150.000000
202042  0.0  1.820000  100  24.866999  0  0  0  0  150.000000
202043  0.0  1.820000  100  25.025520  0  0  0  0  150.000000
202044  0.0  1.820000  100  25.177739  0  0  0  0  150.000000
202045  0.0  1.673000  100  25.322295  0  0  0  0  150.000000
202046  0.0  1.673000  100  25.491248  0  0  0  0  150.000000
202047  0.0  1.673000  100  25.665285  0  0  0  0  150.000000
202048  0.0  1.673000  100  25.831400  0  0  0  0  150.000000
202049  0.0  1.673000  100  26.013158  0  0  0  0  150.000000
202050  0.0  1.673000  100  26.172242  0  0  0  0  150.000000
202051  0.0  1.673000  100  26.350575  0  0  0  0  150.000000
202052  0.0  1.673000  100  26.516853  0  0  0  0  150.000000
202053  0.0  1.673000  100  26.682565  0  0  0  0  150.000000
202054  0.0  1.673000  100  26.852795  0  0  0  0  150.000000
202055  0.0  1.673000  100  27.023356  0  0  0  0  150.000000
202056  0.0  1.539000  100  27.240629  0  0  0  0  150.000000
202057  0.0  1.539000  100  27.414315  0  0  0  0  150.000000
202058  0.0  1.539000  100  27.607452  0  0  0  0  150.000000
202059  0.0  1.539000  100  27.787684  0  0  0  0  150.000000
202060  0.0  1.539000  100  27.972126  0  0  0  0  150.000000
202061  0.0  1.539000  100  28.166134  0  0  0  0  150.000000
202062  0.0  1.539000  100  28.341953  0  0  0  0  150.000000
202063  0.0  1.539000  100  28.527380  0  0  0  0  150.000000
202064  0.0  1.539000  100  28.711021  0  0  0  0  150.000000
202065  0.0  1.539000  100  28.894197  0  0  0  0  150.000000
202066  0.0  1.539000  100  29.076499  0  0  0  0  150.000000
202067  0.0  1.417000  100  29.290289  0  0  0  0  150.000000
202068  0.0  1.417000  100  29.491897  0  0  0  0  150.000000
202069  0.0  1.417000  100  29.681941  0  0  0  0  150.000000
202070  0.0  1.417000  100  29.882033  0  0  0  0  150.000000
202071  0.0  1.417000  100  30.091582  0  0  0  0  150.000000
202072  0.0  1.417000  100  30.295527  0  0  0  0  150.000000
202073  0.0  1.417000  100  30.493706  0  0  0  0  150.000000
202074  0.0  1.417000  100  30.696702  0  0  0  0  150.000000
202075  0.0  1.417000  100  30.892701  0  0  0  0  150.000000
202076  0.0  1.417000  100  31.094179  0  0  0  0  150.000000
202077  0.0  1.417000  100  31.276745  0  0  0  0  150.000000
202078  0.0  1.307000  100  31.439516  0  0  0  0  150.000000
202079  0.0  1.307000  100  31.656899  0  0  0  0  150.000000
202080  0.0  1.307000  100  31.878351  0  0  0  0  150.000000
202081  0.0  1.307000  100  32.095657  0  0  0  0  150.000000
202082  0.0  1.307000  100  32.307938  0  0  0  0  150.000000
202083  0.0  1.307000  100  32.525086  0  0  0  0  150.000000
202084  0.0  1.307000  100  32.744446  0  0  0  0  150.000000
202085  0.0  1.307000  100  32.956542  0  0  0  0  150.000000
202086  0.0  1.307000  100  33.187491  0  0  0  0  150.000000
202087  0.0  1.307000  100  33.399212  0  0  0  0  150.000000
202088  0.0  1.307000  100  33.620536  0  0  0  0  150.000000
  203200       0.0       0.25   100      90.0    0    0    0    0    0
203001  0.0  2.359000  100  19.261690  0  0  0  0  180.000000
203002  0.0  2.359000  100  19.360076  0  0  0  0  180.000000
203003  0.0  2.359000  100  19.484822  0  0  0  0  180.000000
203004  0.0  2.359000  100  19.629342  0  0  0  0  180.000000
203005  0.0  2.359000  100  19.740537  0  0  0  0  180.000000
203006  0.0  2.359000  100  19.864895  0  0  0  0  180.000000
203007  0.0  2.359000  100  19.978950  0  0  0  0  180.000000
203008  0.0  2.359000  100  20.105850  0  0  0  0  180.000000
203009  0.0  2.359000  100  20.217268  0  0  0  0  180.000000
203010  0.0  2.359000  100  20.337001  0  0  0  0  180.000000
203011  0.0  2.359000  100  20.461374  0  0  0  0  180.000000
