Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
502029  -1.00   1.3832  900   98.077  2.0  1.25000  1.0  0.00550  3.00   29.700
502030  -1.00   1.3755  900   97.888  2.0  1.25000  1.0  0.00550  3.00   29.700
502031  -1.00   1.3832  900   97.662  2.0  1.25000  1.0  0.00550  3.00   29.700
502032  -1.00   1.3755  900   97.767  2.0  1.25000  1.0  0.00550  3.00   29.700
502033  -1.00   1.3832  900   97.247  2.0  1.25000  1.0  0.00550  3.00   29.700
502034  -1.00   1.3755  900   97.061  2.0  1.25000  1.0  0.00550  3.00   29.700
502035  -1.00   1.3832  900   96.834  2.0  1.25000  1.0  0.00550  3.00   29.700
502036  -1.00   1.3755  900   96.635  2.0  1.25000  1.0  0.00550  3.00   29.700
502037  -1.00   1.3832  900   96.414  2.0  1.25000  1.0  0.00550  3.00   29.700
502038  -1.00   1.3755  900   96.229  2.0  1.25000  1.0  0.00550  3.00   29.700
502039  -1.00   1.3832  900   96.001  2.0  1.25000  1.0  0.00550  3.00   29.700
502040  -1.00   1.3755  900   95.807  2.0  1.25000  1.0  0.00550  3.00   29.700
502041  -1.00   1.3832  900   95.578  2.0  1.25000  1.0  0.00550  3.00   29.700
502042  -1.00   1.3755  900   95.386  2.0  1.25000  1.0  0.00550  3.00   29.700
502043  -1.00   1.3832  900   95.168  2.0  1.25000  1.0  0.00550  3.00   29.700
502044  -1.00   1.3755  900   94.972  2.0  1.25000  1.0  0.00550  3.00   29.700
502045  -1.00   1.3832  900   94.754  2.0  1.25000  1.0  0.00550  3.00   29.700
502046  -1.00   1.3755  900   94.558  2.0  1.25000  1.0  0.00550  3.00   29.700
502047  -1.00   1.3832  900   94.337  2.0  1.25000  1.0  0.00550  3.00   29.700
502048  -1.00   1.3755  900  100.212  2.0  1.25000  1.0  0.00550  3.00   29.700
502049  -1.00   1.3832  900   93.915  2.0  1.25000  1.0  0.00550  3.00   29.700
502050  -1.00   1.3755  900   94.326  2.0  1.25000  1.0  0.00550  3.00   29.700
502051  -1.00   1.3832  900   93.508  2.0  1.25000  1.0  0.00550  3.00   29.700
502052  -1.00   1.3755  900   93.312  2.0  1.25000  1.0  0.00550  3.00   29.700
502053  -1.00   1.3832  900   93.082  2.0  1.25000  1.0  0.00550  3.00   29.700
502054  -1.00   1.3755  900   92.882  2.0  1.25000  1.0  0.00550  3.00   29.700
502055  -1.00   1.3832  900   92.658  2.0  1.25000  1.0  0.00550  3.00   29.700
502056  -1.00   1.3755  900   92.468  2.0  1.25000  1.0  0.00550  3.00   29.700
502057  -1.00   1.3832  900   92.250  2.0  1.25000  1.0  0.00550  3.00   29.700
502058  -1.00   1.3755  900   92.062  2.0  1.25000  1.0  0.00550  3.00   29.700
502059  -1.00   1.3832  900   91.838  2.0  1.25000  1.0  0.00550  3.00   29.700
502060  -1.00   1.3755  900   91.637  2.0  1.25000  1.0  0.00550  3.00   29.700
502061  -1.00   1.3832  900   91.420  2.0  1.25000  1.0  0.00550  3.00   29.700
502062  -1.00   1.3755  900   91.219  2.0  1.25000  1.0  0.00550  3.00   29.700
502063  -1.00   1.3832  900   90.997  2.0  1.25000  1.0  0.00550  3.00   29.700
502064  -1.00   1.3755  900   88.496  2.0  1.25000  1.0  0.00550  3.00   29.700
502065  -1.00   1.3832  900   90.586  2.0  1.25000  1.0  0.00550  3.00   29.700
502066  -1.00   1.3755  900   90.395  2.0  1.25000  1.0  0.00550  3.00   29.700
502067  -1.00   1.3832  900   90.166  2.0  1.25000  1.0  0.00550  3.00   29.700
502068  -1.00   1.3755  900   89.960  2.0  1.25000  1.0  0.00550  3.00   29.700
502069  -1.00   1.3832  900   89.749  2.0  1.25000  1.0  0.00550  3.00   29.700
502070  -1.00   1.3755  900   89.566  2.0  1.25000  1.0  0.00550  3.00   29.700
