Number of entries, Number of user table parameters                              
7891 6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
102266  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102267  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103001  -1.00   2.3690  900    5.515  2.0  1.25000  1.0  0.00200  3.00  -30.000
103002  -1.00   2.3761  900    5.407  2.0  1.25000  1.0  0.00200  3.00  -30.000
103003  -1.00   2.3684  900    5.752  2.0  1.25000  1.0  0.00200  3.00  -30.000
103004  -1.00   2.3755  900    5.642  2.0  1.25000  1.0  0.00200  3.00  -30.000
103005  -1.00   2.3679  900    5.987  2.0  1.25000  1.0  0.00200  3.00  -30.000
103006  -1.00   2.3749  900    5.878  2.0  1.25000  1.0  0.00200  3.00  -30.000
103007  -1.00   2.3674  900    6.224  2.0  1.25000  1.0  0.00200  3.00  -30.000
103008  -1.00   2.3744  900    6.114  2.0  1.25000  1.0  0.00200  3.00  -30.000
103009  -1.00   2.3670  900    6.460  2.0  1.25000  1.0  0.00200  3.00  -30.000
103010  -1.00   2.3740  900    6.348  2.0  1.25000  1.0  0.00200  3.00  -30.000
103011  -1.00   2.3666  900    6.696  2.0  1.25000  1.0  0.00200  3.00  -30.000
103201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103012  -1.00   2.3735  900    6.583  2.0  1.25000  1.0  0.00200  3.00  -30.000
103013  -1.00   2.3662  900    6.931  2.0  1.25000  1.0  0.00200  3.00  -30.000
103014  -1.00   2.3731  900    6.819  2.0  1.25000  1.0  0.00200  3.00  -30.000
103015  -1.00   2.3659  900    7.168  2.0  1.25000  1.0  0.00200  3.00  -30.000
103016  -1.00   2.3728  900    7.055  2.0  1.25000  1.0  0.00200  3.00  -30.000
103017  -1.00   2.3656  900    7.405  2.0  1.25000  1.0  0.00200  3.00  -30.000
103018  -1.00   2.3725  900    7.291  2.0  1.25000  1.0  0.00200  3.00  -30.000
103019  -1.00   2.3654  900    7.641  2.0  1.25000  1.0  0.00200  3.00  -30.000
103020  -1.00   2.3723  900    7.527  2.0  1.25000  1.0  0.00200  3.00  -30.000
103021  -1.00   2.3652  900    7.878  2.0  1.25000  1.0  0.00200  3.00  -30.000
103205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103208  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
103022  -1.00   2.3720  900    7.763  2.0  1.25000  1.0  0.00200  3.00  -30.000
103023  -1.00   2.3650  900    8.115  2.0  1.25000  1.0  0.00200  3.00  -30.000
103024  -1.00   2.3719  900    7.998  2.0  1.25000  1.0  0.00200  3.00  -30.000
