Number of entries, Number of user table parameters                              
        9870           6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
111007  -1.00   2.3653  900    7.356  2.0  1.25000  1.0   0.00200  3.00  150.000
111008  -1.00   2.3731  900    8.156  2.0  1.25000  1.0   0.00200  3.00  150.000
111009  -1.00   2.3653  900    8.990  2.0  1.25000  1.0   0.00200  3.00  150.000
111010  -1.00   2.3731  900    8.531  2.0  1.25000  1.0   0.00200  3.00  150.000
111011  -1.00   2.3653  900    8.983  2.0  1.25000  1.0   0.00200  3.00  150.000
111012  -1.00   2.3731  900    8.498  2.0  1.25000  1.0   0.00200  3.00  150.000
111013  -1.00   2.3653  900    8.171  2.0  1.25000  1.0   0.00200  3.00  150.000
111014  -1.00   2.3731  900    9.016  2.0  1.25000  1.0   0.00200  3.00  150.000
111015  -1.00   2.3653  900    8.601  2.0  1.25000  1.0   0.00200  3.00  150.000
111016  -1.00   2.3731  900    9.122  2.0  1.25000  1.0   0.00200  3.00  150.000
111017  -1.00   2.3653  900    9.575  2.0  1.25000  1.0   0.00200  3.00  150.000
111018  -1.00   2.3731  900    9.227  2.0  1.25000  1.0   0.00200  3.00  150.000
111019  -1.00   2.3653  900   10.134  2.0  1.25000  1.0   0.00200  3.00  150.000
111020  -1.00   2.3731  900    9.821  2.0  1.25000  1.0   0.00200  3.00  150.000
111021  -1.00   2.3653  900    9.627  2.0  1.25000  1.0   0.00200  3.00  150.000
111022  -1.00   2.3731  900   10.386  2.0  1.25000  1.0   0.00200  3.00  150.000
111023  -1.00   2.3653  900   10.861  2.0  1.25000  1.0   0.00200  3.00  150.000
111024  -1.00   2.3731  900   10.205  2.0  1.25000  1.0   0.00200  3.00  150.000
111025  -1.00   2.3653  900   10.602  2.0  1.25000  1.0   0.00200  3.00  150.000
111026  -1.00   2.3731  900   11.192  2.0  1.25000  1.0   0.00200  3.00  150.000
111027  -1.00   2.3653  900   10.898  2.0  1.25000  1.0   0.00200  3.00  150.000
111028  -1.00   2.3731  900   11.044  2.0  1.25000  1.0   0.00200  3.00  150.000
111029  -1.00   2.3653  900   11.658  2.0  1.25000  1.0   0.00200  3.00  150.000
111030  -1.00   2.3731  900   11.185  2.0  1.25000  1.0   0.00200  3.00  150.000
111031  -1.00   2.3653  900   10.025  2.0  1.25000  1.0   0.00200  3.00  150.000
111032  -1.00   2.3731  900   10.125  2.0  1.25000  1.0   0.00200  3.00  150.000
111033  -1.00   2.3653  900   10.236  2.0  1.25000  1.0   0.00200  3.00  150.000
111034  -1.00   2.3731  900   11.295  2.0  1.25000  1.0   0.00200  3.00  150.000
111035  -1.00   2.3653  900   10.428  2.0  1.25000  1.0   0.00200  3.00  150.000
111036  -1.00   2.3731  900   10.791  2.0  1.25000  1.0   0.00200  3.00  150.000
111037  -1.00   2.3653  900   10.837  2.0  1.25000  1.0   0.00200  3.00  150.000
111038  -1.00   2.3731  900   10.897  2.0  1.25000  1.0   0.00200  3.00  150.000
111039  -1.00   2.3653  900   11.107  2.0  1.25000  1.0   0.00200  3.00  150.000
111040  -1.00   2.3731  900   11.448  2.0  1.25000  1.0   0.00200  3.00  150.000
111041  -1.00   2.3653  900   11.529  2.0  1.25000  1.0   0.00200  3.00  150.000
111042  -1.00   2.3731  900   11.676  2.0  1.25000  1.0   0.00200  3.00  150.000
111043  -1.00   2.3653  900   12.031  2.0  1.25000  1.0   0.00200  3.00  150.000
111044  -1.00   2.3731  900   12.162  2.0  1.25000  1.0   0.00200  3.00  150.000
111045  -1.00   2.3653  900   12.622  2.0  1.25000  1.0   0.00200  3.00  150.000
112001  -1.00   2.3735  900    5.133  2.0  1.25000  1.0   0.00200  3.00  180.000
